b'@ColonelFalcon @Retrogamebrews @Cladounnet @esperdreams @Kuniotchi @retrogaminggeek @16bitnostalgia @RetroBoyJon\xe2\x80\xa6 https://t.co/RsVa6jEGVB'
"b""@DessGaming im sayin'. all i want is Borderland 3 to drop and for madden to be worth my time when it comes out. MK11 has been getting me by"""
b'3 Day VIP is sold out &amp; early bird pricing ends tomorrow for the Borderland Music Fesitval in East Aurora!\xe2\x80\xa6 https://t.co/FjH0a1s3Op'
"b""@Borderlands I'm looking forward to Mega on Borderland 3 have already bought it for 100 euros"""
"b""All this stuff about Randy Pitchford has me regretting that I paid for Borderland's Handsome Collection and the ind\xe2\x80\xa6 https://t.co/tua775nicm"""
"b'@OwariNoJesus @CarlosTeles12 @CornishGuv @DuvalMagic Rocket league, Metro, Outer world, Borderland 3,...  You know\xe2\x80\xa6 https://t.co/yIk3yLTrfy'"
b'@Shockwave646461 I would like a weapon called borderland sword or something like that still have the wo dao effect\xe2\x80\xa6 https://t.co/aMfAotrqJe'
b'I can wait til borderland 3 drops it all ive been thinking about. Trying to complete the Handsome Jack Collection a\xe2\x80\xa6 https://t.co/QkpwdmT3dq'
b'It sounds like Gearbox is committed to avoiding the worst of randomized loot box purchases and free-to-play monetiz\xe2\x80\xa6 https://t.co/Tmn8NPJRnk'
b'@paulithonnew Nicely done! Borderland 3 is not far away!'
b'@OwariNoJesus @CarlosTeles12 @CornishGuv @DuvalMagic Want all the clip he say how bad Epic store is? And when he go\xe2\x80\xa6 https://t.co/E0yzja5yIF'
b'@OwariNoJesus @CarlosTeles12 @CornishGuv @DuvalMagic Hhahahaah you are such a naive person. You think randy doesnt\xe2\x80\xa6 https://t.co/WxRtloAwvM'
b'I have never missed a destiny dlc since destiny 1 launch but if a new destiny launches near borderland 3 I almost certainly wont get it.'
"b""@DuvalMagic Hey Randy,\n      How confident are you that there will be a Borderland's 3: Game of the year edition?"""
b'445pm Pleasant night in store tonight across the Borderland. Mild temps with just some high clouds. #txwx #nmwx\xe2\x80\xa6 https://t.co/NZcXxn3Cll'
b'@StevenLHess The CEO of Epic Games that bought popular games like Rocket League and Borderland 3 from Steam to make\xe2\x80\xa6 https://t.co/fe4JqSgMLL'
b'@NathieVR I saw this today https://t.co/yLuOGNFIcw    Is there any news out there confimed for Borderland 2 PCVR?'
b'@PlayStationUK Borderland 2\nBioshock Infinite\nThe Witcher 3'
b'@DuvalSorcery @PrimeDCizzle @TimSweeneyEpic Also thanks @TimSweeneyEpic  for paying all the Borderland 3 copies for me and my friends \xf0\x9f\x98\x8d'
